,Full,Yes/No,Open,Size,Shape,Color,Location,Count,Spec1,Spec2,Spec3,Path
ef=sbert_full_nhidden=256_lr=0.002,0.43273332715034485,0.5999733209609985,0.26635608077049255,0.4033653736114502,0.6959247589111328,0.36478856205940247,0.2758888900279999,0.6526666879653931,0.5475414991378784,0.32861754298210144,0.4537378251552582,/data/s2965690/vqa_experiment_final/bottom_attention/ef=sbert_full_nhidden=256_lr=0.002/checkpoints/epoch=12-step=48749.ckpt
ef=phoc_reduced_nhidden=256_lr=0.002,0.4432666599750519,0.6263435482978821,0.260819673538208,0.40312498807907104,0.702194333076477,0.3667963445186615,0.2787777781486511,0.6955000162124634,0.5697223544120789,0.320926696062088,0.46912243962287903,/data/s2965690/vqa_experiment_final/bottom_attention/ef=phoc_reduced_nhidden=256_lr=0.002/checkpoints/epoch=7-step=29999.ckpt
ef=phoc_full_nhidden=256_lr=0.002,0.4279666543006897,0.6139929294586182,0.24238741397857666,0.35673075914382935,0.6955764293670654,0.3477224111557007,0.2639999985694885,0.7018333077430725,0.5552194714546204,0.30516520142555237,0.46500542759895325,/data/s2965690/vqa_experiment_final/bottom_attention/ef=phoc_full_nhidden=256_lr=0.002/checkpoints/epoch=10-step=41249.ckpt
ef=sbert_reduced_nhidden=256_lr=0.002,0.4429999887943268,0.6242071986198425,0.2622375190258026,0.4052884578704834,0.7115987539291382,0.3571338951587677,0.27844443917274475,0.7014999985694885,0.5654568076133728,0.32804784178733826,0.46392199397087097,/data/s2965690/vqa_experiment_final/bottom_attention/ef=sbert_reduced_nhidden=256_lr=0.002/checkpoints/epoch=8-step=33749.ckpt
ef=bow_nhidden=256_lr=0.002,0.4415000081062317,0.6264103055000305,0.2570386826992035,0.4009615480899811,0.7081156373023987,0.35512611269950867,0.28077778220176697,0.6978333592414856,0.5653017163276672,0.32415494322776794,0.47215601801872253,/data/s2965690/vqa_experiment_final/bottom_attention/ef=bow_nhidden=256_lr=0.002/checkpoints/epoch=4-step=18749.ckpt
