,Full,Yes/No,Open,Size,Shape,Color,Location,Count,Spec1,Spec2,Spec3,Path
ef=sbert_full_nhidden=256_lr=0.002,0.4315333366394043,0.5830829739570618,0.28039970993995667,0.4134615361690521,0.675374448299408,0.3253858685493469,0.29555556178092957,0.6723333597183228,0.5450597405433655,0.3083934783935547,0.4936077892780304,/data/s2965690/vqa_experiment_final/language_only/ef=sbert_full_nhidden=256_lr=0.002/checkpoints/epoch=6-step=26249.ckpt
ef=phoc_reduced_nhidden=256_lr=0.002,0.4309999942779541,0.6151946187019348,0.24751873314380646,0.3783653974533081,0.7060257792472839,0.3475969433784485,0.26177778840065,0.7005000114440918,0.5600278973579407,0.3076338768005371,0.46565547585487366,/data/s2965690/vqa_experiment_final/language_only/ef=phoc_reduced_nhidden=256_lr=0.002/checkpoints/epoch=5-step=22499.ckpt
ef=phoc_full_nhidden=256_lr=0.002,0.4449666738510132,0.6336871385574341,0.25697118043899536,0.3656249940395355,0.7150818705558777,0.38210564851760864,0.28122222423553467,0.699833333492279,0.5632076859474182,0.3393467664718628,0.4693391025066376,/data/s2965690/vqa_experiment_final/language_only/ef=phoc_full_nhidden=256_lr=0.002/checkpoints/epoch=10-step=41249.ckpt
ef=sbert_reduced_nhidden=256_lr=0.002,0.43396666646003723,0.6171306371688843,0.25116467475891113,0.37475961446762085,0.7157784700393677,0.36278077960014343,0.2800000011920929,0.6656666398048401,0.5507988333702087,0.3262438178062439,0.4669555723667145,/data/s2965690/vqa_experiment_final/language_only/ef=sbert_reduced_nhidden=256_lr=0.002/checkpoints/epoch=7-step=29999.ckpt
ef=bow_nhidden=256_lr=0.002,0.4248333275318146,0.594231903553009,0.25582337379455566,0.39278846979141235,0.6900034546852112,0.34696951508522034,0.2572222352027893,0.675000011920929,0.544051468372345,0.30212685465812683,0.46327194571495056,/data/s2965690/vqa_experiment_final/language_only/ef=bow_nhidden=256_lr=0.002/checkpoints/epoch=3-step=14999.ckpt
