,Full,Yes/No,Open,Size,Shape,Color,Location,Count,Spec1,Spec2,Spec3,Path
ef=sbert_full_nhidden=256_lr=0.002,0.5779333114624023,0.6998464465141296,0.4564850330352783,0.5978365540504456,0.7600139379501343,0.5422261357307434,0.4497777819633484,0.7166666388511658,0.6542577743530273,0.511203944683075,0.5605633854866028,/data/s2965690/vqa_experiment_final/pretrained/ef=sbert_full_nhidden=256_lr=0.002/checkpoints/epoch=7-step=29999.ckpt
ef=phoc_reduced_nhidden=256_lr=0.002,0.6628333330154419,0.7786901593208313,0.5474984645843506,0.6966345906257629,0.822013258934021,0.6394779682159424,0.5275555849075317,0.797166645526886,0.7364665865898132,0.5980820059776306,0.6385698914527893,/data/s2965690/vqa_experiment_final/pretrained/ef=phoc_reduced_nhidden=256_lr=0.002/checkpoints/epoch=19-step=74999.ckpt
ef=phoc_full_nhidden=256_lr=0.002,0.6564666628837585,0.7515187859535217,0.561812162399292,0.6790865659713745,0.7830024361610413,0.6009536981582642,0.5704444646835327,0.7829999923706055,0.7106406092643738,0.6023547053337097,0.6442036628723145,/data/s2965690/vqa_experiment_final/pretrained/ef=phoc_full_nhidden=256_lr=0.002/checkpoints/epoch=17-step=67499.ckpt
ef=sbert_reduced_nhidden=256_lr=0.002,0.6423333287239075,0.7720808982849121,0.5134696960449219,0.6598557829856873,0.7969348430633545,0.5922951698303223,0.5603333115577698,0.7456666827201843,0.6972235441207886,0.5900114178657532,0.641170084476471,/data/s2965690/vqa_experiment_final/pretrained/ef=sbert_reduced_nhidden=256_lr=0.002/checkpoints/epoch=14-step=56249-v1.ckpt
ef=bow_nhidden=256_lr=0.002,0.6661333441734314,0.7712798118591309,0.5610694885253906,0.7110576629638672,0.8035527467727661,0.603588879108429,0.5687777996063232,0.7983333468437195,0.7318907976150513,0.6035890579223633,0.652437686920166,/data/s2965690/vqa_experiment_final/pretrained/ef=bow_nhidden=256_lr=0.002/checkpoints/epoch=20-step=78749.ckpt
