,Full,Yes/No,Open,Size,Shape,Color,Location,Count,Spec1,Spec2,Spec3,Path
ef=sbert_full_nhidden=256_lr=0.002,0.6972666382789612,0.7782228589057922,0.6166362762451172,0.6949519515037537,0.8052943348884583,0.7359769344329834,0.6016666889190674,0.7391666769981384,0.7416628003120422,0.6449866890907288,0.6595882773399353,/data/s2965690/vqa_experiment_final/cnn/ef=sbert_full_nhidden=256_lr=0.002/checkpoints/epoch=14-step=56249.ckpt
ef=phoc_reduced_nhidden=256_lr=0.002,0.7164000272750854,0.8012551069259644,0.6318951845169067,0.7694711685180664,0.8366422653198242,0.7323378324508667,0.5905555486679077,0.7896666526794434,0.7706685066223145,0.6574249863624573,0.6673889756202698,/data/s2965690/vqa_experiment_final/cnn/ef=phoc_reduced_nhidden=256_lr=0.002/checkpoints/epoch=14-step=56249.ckpt
ef=phoc_full_nhidden=256_lr=0.002,0.7206000089645386,0.8074637651443481,0.6345959305763245,0.7158653736114502,0.8404737114906311,0.7591918706893921,0.5993333458900452,0.797166645526886,0.7742360830307007,0.6572350859642029,0.6717226505279541,/data/s2965690/vqa_experiment_final/cnn/ef=phoc_full_nhidden=256_lr=0.002/checkpoints/epoch=14-step=56249.ckpt
ef=sbert_reduced_nhidden=256_lr=0.002,0.7213333249092102,0.8100674152374268,0.6330429911613464,0.7151442170143127,0.8335074782371521,0.7554273009300232,0.5988888740539551,0.8103333115577698,0.7831549644470215,0.6552411913871765,0.6602383255958557,/data/s2965690/vqa_experiment_final/cnn/ef=sbert_reduced_nhidden=256_lr=0.002/checkpoints/epoch=17-step=67499.ckpt
ef=bow_nhidden=256_lr=0.002,0.7116000056266785,0.8078643679618835,0.6152859330177307,0.7490384578704834,0.8366422653198242,0.7207930684089661,0.5958889126777649,0.7871666550636292,0.7633007764816284,0.6519179940223694,0.6695557832717896,/data/s2965690/vqa_experiment_final/cnn/ef=bow_nhidden=256_lr=0.002/checkpoints/epoch=8-step=33749.ckpt
